Gene_name NCBI_gene_ID Gene_type
MT-ND1 4535 protein_coding
MT-ND2 4536 protein_coding
MT-CO1 4512 protein_coding
MT-CO2 4513 protein_coding
MT-ATP8 4509 protein_coding
MT-ATP6 4508 protein_coding
MT-CO3 4514 protein_coding
MT-ND3 4537 protein_coding
MT-ND4L 4539 protein_coding
MT-ND4 4538 protein_coding
MT-ND5 4540 protein_coding
MT-ND6 4541 protein_coding
MT-CYB 4519 protein_coding
 102724250 protein_coding
  protein_coding
INTS3 65123 protein_coding
KIR2DL3 3804 protein_coding
KIR2DL4 3805 protein_coding
KIR3DL2 3812 protein_coding
KIR2DL1 3802 protein_coding
KIR3DL1 3811 protein_coding
KIR2DS3 3808 protein_coding
KIR3DL3 115653 protein_coding
KIR2DL2 3803 protein_coding
PCMTD2 55251 protein_coding
NCR1 9437 protein_coding
 KIR3DP1 protein_coding
KIR2DS2 100132285 protein_coding
FCAR 2204 protein_coding
OPRL1 4987 protein_coding
NPBWR2 2832 protein_coding
MYT1 4661 protein_coding
GATAD2B 57459 protein_coding
KRT20 54474 protein_coding
KIR2DS4 3809 protein_coding
KRTAP3-1 83896 protein_coding
KRTAP3-2 83897 protein_coding
KRTAP4-9 100132386 protein_coding
SLC27A3 11000 protein_coding
DNAH10 196385 protein_coding
KRTAP2-4 85294 protein_coding
KRT23 25984 protein_coding
KIR2DS5 3810 protein_coding
KIR2DL5B 553128 protein_coding
KIR3DS1 3813 protein_coding
KIR2DS1 3806 protein_coding
CCDC92 80212 protein_coding
KIR2DL5A 57292 protein_coding
KRT40 125115 protein_coding
KRTAP1-1 81851 protein_coding
 728279 protein_coding
KRTAP4-11 653240 protein_coding
KRTAP1-3 81850 protein_coding
 KRTAP4-16 protein_coding
KRT12 3859 protein_coding
KRTAP1-5 83895 protein_coding
KRT39 390792 protein_coding
KRTAP2-1 81872 protein_coding
KRTAP3-3 85293 protein_coding
KRTAP2-3 730755 protein_coding
KRTAP4-12 83755 protein_coding
KRTAP1-4 728255 protein_coding
 100996750 protein_coding
KRTAP4-8 728224 protein_coding
HS3ST6 64711 protein_coding
ZNF430 80264 protein_coding
SNTG2 54221 protein_coding
ZNF43 7594 protein_coding
ZNF100 163227 protein_coding
ADI1 55256 protein_coding
DLG5 9231 protein_coding
TRAPPC12 51112 protein_coding
PPIAL4F 728945 protein_coding
ZNF85 7639 protein_coding
PIWIL1 9271 protein_coding
OR9G4 283189 protein_coding
ZNF66 7617 protein_coding
 100288966 protein_coding
OR9G1 390174 protein_coding
OR9G9 504191 protein_coding
TPO 7173 protein_coding
KRTAP9-9 81870 protein_coding
KRTAP9-2 83899 protein_coding
 102724788 protein_coding
KRTAP9-4 85280 protein_coding
KRTAP9-3 83900 protein_coding
KCNQ2 3785 protein_coding
 100507608 protein_coding
KRTAP29-1 100533177 protein_coding
KRTAP9-6 100507608 protein_coding
KRTAP9-7 100505724 protein_coding
 102724770 protein_coding
FTCD 10841 protein_coding
SINHCAF 58516 protein_coding
LSS 4047 protein_coding
SBNO2 22904 protein_coding
PROP1 5626 protein_coding
CTDP1 9150 protein_coding
RPS17 6218 protein_coding
ERICH1 157697 protein_coding
PRB1 5542 protein_coding
PRB1 653247 protein_coding
 102725023 protein_coding
GARRE1 9710 protein_coding
LSM14A 26065 protein_coding
GOLGA6L10 643707 protein_coding
GOLGA6L10 647042 protein_coding
DSEL 92126 protein_coding
CPEB1 64506 protein_coding
CRIM1 51232 protein_coding
SPATC1L 84221 protein_coding
DLGAP2 9228 protein_coding
SLC45A2 51151 protein_coding
RXFP3 51289 protein_coding
ADAMTS12 81792 protein_coding
 389831 protein_coding
CYFIP1 23191 protein_coding
APOBEC3A 200315 protein_coding
APOBEC3A 100913187 protein_coding
AP2A2 161 protein_coding
PTCHD3 374308 protein_coding
SEPTIN9 10801 protein_coding
GOLGA6L22 440243 protein_coding
KRTAP5-2 440021 protein_coding
CNTNAP2 26047 protein_coding
KRTAP5-3 387266 protein_coding
KRTAP5-4 387267 protein_coding
KRTAP5-1 387264 protein_coding
KRTAP5-5 439915 protein_coding
TUBGCP5 114791 protein_coding
DUSP8 1850 protein_coding
ABCB11 8647 protein_coding
SKA1 220134 protein_coding
GOLGA6L1 283767 protein_coding
G6PC2 57818 protein_coding
LRRC56 115399 protein_coding
DHX36 170506 protein_coding
SMN2 6606 protein_coding
SMN2 6607 protein_coding
 102724151 protein_coding
SPC25 57405 protein_coding
METRNL 284207 protein_coding
ARHGEF26 26084 protein_coding
PHRF1 57661 protein_coding
TBCD 6904 protein_coding
NOSTRIN 115677 protein_coding
MEGF11 84465 protein_coding
GTF2H2 2966 protein_coding
GTF2H2 728340 protein_coding
PAXBP1 94104 protein_coding
C21orf62 56245 protein_coding
KRTAP5-6 440023 protein_coding
GOLGA8F 100132565 protein_coding
B3GNTL1 146712 protein_coding
IFITM10 402778 protein_coding
GOLGA8G 283768 protein_coding
GART 2618 protein_coding
DECR2 26063 protein_coding
DNAJC28 54943 protein_coding
KIF26B 55083 protein_coding
IFNGR2 3460 protein_coding
NDUFA6 4700 protein_coding
SNTB2 6645 protein_coding
LMNTD2 256329 protein_coding
UTP4 84916 protein_coding
SMDT1 91689 protein_coding
CYP2D6 1565 protein_coding
CYP2D6 107987478 protein_coding
CYP2D6 107987479 protein_coding
NKD2 85409 protein_coding
MUC4 4585 protein_coding
RAB11FIP3 9727 protein_coding
TMEM50B 757 protein_coding
RNH1 6050 protein_coding
