repeats	afrotheria	amphibia	artiodactyla	aves	carnivore	chiroptera	lagomorpha	marsupials	perissodactyla	primates	rodents	squamata	testudines
A	0.0653884	0.0548513	0.0789756	0.0502009	0.0806567	0.0715729	0.0837292	0.0891383	0.0690319	0.0771153	0.0719237	0.0724419	0.0601122
AG	0.0120286	0.00449412	0.0157105	0.0157598	0.0178075	0.0124475	0.0145487	0.0184329	0.0151533	0.014675	0.0123088	0.0101916	0.0195249
AL	0.0071448	0.00518553	0.0103232	0.0108577	0.00983238	0.00779987	0.008462	0.00313635	0.0117859	0.00924747	0.00948621	0.00464737	0.0096856
AP	0.0131139	0.00783591	0.0168951	0.0148046	0.0195399	0.0155593	0.0161817	0.0159569	0.0167168	0.0149456	0.0120587	0.00900938	0.0129141
C	0.0128425	0.00967965	0.00942066	0.0113633	0.0104567	0.00990139	0.0108373	0.00885881	0.0109441	0.0106959	0.0101472	0.00913168	0.0144515
D	0.0255042	0.0411385	0.023467	0.0351294	0.0225364	0.0228742	0.0188539	0.023165	0.0244137	0.0228242	0.0235637	0.0222177	0.032516
DE	0.0321968	0.0427518	0.0305748	0.0334438	0.0283266	0.0301083	0.0292458	0.0274568	0.0304269	0.0301299	0.0302272	0.0294741	0.0305173
E	0.12119	0.104056	0.107463	0.132567	0.115554	0.117362	0.116538	0.108342	0.115454	0.11428	0.12425	0.135181	0.118072
EK	0.00741612	0.00806637	0.00772832	0.00953732	0.00646128	0.00727449	0.00564133	0.00874876	0.00769693	0.00701916	0.00800343	0.00843865	0.00953186
G	0.0576106	0.0496658	0.0736447	0.0519988	0.0774417	0.0629648	0.0733373	0.0901838	0.0686711	0.0651779	0.058936	0.0816959	0.0510416
GP	0.00786832	0.00737497	0.00840526	0.00660168	0.00828729	0.00828484	0.00727435	0.00946407	0.00805773	0.00679633	0.00741389	0.00566653	0.00776386
GR	0.00813964	0.0175156	0.0103232	0.0127679	0.0100353	0.0108713	0.00875891	0.0104545	0.0105833	0.0104571	0.00973632	0.00978394	0.012376
GS	0.016641	0.00656833	0.0137079	0.00602579	0.0146861	0.0151148	0.0141033	0.016287	0.0132291	0.0159961	0.0143097	0.0131268	0.00676455
H	0.0313828	0.0414842	0.0291646	0.0264067	0.0289041	0.0295829	0.027019	0.0305381	0.0269393	0.0295728	0.0281728	0.0314717	0.0315166
HQ	0.00325586	0.00841208	0.00324364	0.00394696	0.00390174	0.00331393	0.00430523	0.00341147	0.00336741	0.00362896	0.0041089	0.00456584	0.00515028
K	0.0388894	0.0534685	0.0357647	0.0428407	0.0333677	0.03516	0.0363717	0.0293276	0.037282	0.0371331	0.0363906	0.0390542	0.0489661
L	0.0673781	0.0333026	0.0709934	0.0411552	0.068296	0.0746848	0.0788302	0.0505117	0.0711966	0.0790094	0.0739781	0.0312271	0.04666
LP	0.0071448	0.00207421	0.00846167	0.00396101	0.0102069	0.00784028	0.00994656	0.00687796	0.00865905	0.00693958	0.00802129	0.00419894	0.00384349
N	0.0110337	0.0115234	0.0100976	0.00900357	0.00884914	0.0106288	0.00920428	0.00577748	0.00998196	0.00899281	0.0101115	0.00803098	0.00853255
P	0.0699105	0.0727126	0.0702036	0.0720707	0.0730093	0.0673699	0.0669537	0.0727413	0.0678292	0.0631247	0.065939	0.0789238	0.0751019
PQ	0.0144705	0.00564646	0.013172	0.00521111	0.0152948	0.0149127	0.0155879	0.0177726	0.0131088	0.0143407	0.0137559	0.00921321	0.00630333
Q	0.0421452	0.0430975	0.0368365	0.042321	0.0328526	0.0427174	0.04038	0.0539782	0.0440168	0.0468422	0.0516829	0.061598	0.0357445
R	0.016008	0.0225858	0.0143566	0.0185971	0.0134376	0.0136599	0.0129157	0.0132607	0.0139507	0.0140383	0.0142918	0.015532	0.0184488
RS	0.00859184	0.0117539	0.00857449	0.00979015	0.00761619	0.00885063	0.00920428	0.00693298	0.00877931	0.00835615	0.00889667	0.00778638	0.00991621
S	0.0677399	0.0789352	0.0638856	0.0763688	0.0614914	0.0688248	0.0679929	0.0820403	0.0680698	0.0682657	0.0697978	0.084998	0.0773311
T	0.0133852	0.0131367	0.011254	0.0105346	0.00973874	0.012205	0.0118765	0.0103444	0.0110643	0.0109664	0.0110762	0.0118223	0.0139134
other	0.221579	0.242683	0.217352	0.246734	0.211412	0.218113	0.2019	0.18686	0.21359	0.209429	0.211412	0.200571	0.2333
